Campus Hubs,bookmark,URL,Address,Description,Logo,Featured Text,Featured Link,Impact,Director Name (new),Other Point of Contact Name (new),Featured Photo,geometry,school_official,funding
Stanford Cancer Institute ,cancer,https://med.stanford.edu/cancer/community.html,"Stanford Cancer Institute
Office of Cancer Health Equity and Community Engagement
Lokey Stem Cell Research Building
265 Campus Drive 
Palo Alto, CA 94305","CHECE's mission is to reduce the overall cancer burden and cancer disparities in the catchment area and beyond. We do this through four main aims: 1) Understand and monitor the cancer burden, cancer risk factors, and community assets in the catchment area on an ongoing basis; 2) Develop and sustain bidirectional partnerships to facilitate research and activities that are relevant to the catchment area; 3) Increase participation of underrepresented minority patients in SCI clinical trials; and 4) Translate research into practices and policies that decrease the overall cancer burden and promote health equity within and beyond the catchment area. ",https://dl.airtable.com/.attachments/2c235bc272b889dbbae38e9feb4a7474/ad493af1/StanfordCancerInstitute.jpg,Our community events include ongoing classes and workshops as well as available talks online.,https://med.stanford.edu/cancer/training/events.html#community_events,"Equity or Socioeconomic Issues, Health",<a href = 'https://profiles.stanford.edu/alyce-adams' target='_blank'>Alyce Sophia Adams</a>,"Lisa Goldman Rosas (lgrosas@stanford.edu), Lidia Schapira (schapira@stanford.edu)",NA,POINT (-122.1775 37.43152),Stanford Medicine,
Woods Institute for the Environment ,woods,https://woods.stanford.edu/,"473 Via Ortega Drive, Y2E2, Stanford, CA 94305","The Stanford Woods Institute for the Environment is working toward a future in which societies meet people’s needs for water, food, health and other vital services while sustaining the planet. As the university's hub of interdisciplinary environment and sustainability research, the Stanford Woods Institute is the go-to place for Stanford faculty, researchers and students to collaborate on environmental research. Their interdisciplinary work crosses sectors and disciplines, advancing solutions to the most critical, complex environmental and sustainability challenges.

Working on campus and around the globe, the Stanford Woods Institute community develops environmental leaders; informs decision-makers with unbiased scientific data; and convenes experts from all of Stanford’s seven schools, other leading academic institutions, government, NGOs, foundations and business. The Stanford Woods Institute is pursuing breakthrough knowledge and solutions that link knowledge to action and solve the environmental challenges of today and tomorrow.",https://dl.airtable.com/.attachments/3fc808409bd2104b0d185e4054d55d69/3f608562/WoodsInstitutefortheEnvironment.png,Catalyzing Solutions - Stanford grants empower experts to tackle environmental challenges,https://www.youtube.com/watch?v=NJ3zGPzHQtg,"Environment and Sustainability, Global",<a href = 'https://profiles.stanford.edu/chris-field' target='_blank'>Chris Field</a>,"Brian Sharbono (sharbono@stanford.edu), Roberta Tugendreich (robertat@stanford.edu), Christine Black (ChristineBlack@stanford.edu)",NA,POINT (-122.1759 37.42832),Dean of Research,
Mills Legal Clinic: Environmental Law Clinic,mills_environment,https://law.stanford.edu/environmental-law-clinic/,"559 Nathan Abbott Way, Stanford, CA 94305","The Environmental Law Clinic provides an opportunity each quarter for students to represent national, regional, and grassroots non-profit organizations on a variety of environmental issues.",https://dl.airtable.com/.attachments/b6b738f0b82bc1d160b750b42bfaf575/3317ab7e/MillsLegalClinic.jpg,"The clinic is currently handling about 20 litigation and policy matters involving from marine and coastal resource protection, public land management, water quality, and threatened or endangered species.",https://law.stanford.edu/environmental-law-clinic/#slsnav-students-work-and-cases,"Law, Policy, & Justice, Environment and Sustainability",<a href = 'https://profiles.stanford.edu/deborah-sivas' target='_blank'>Deborah Sivas</a>,Candice L Adams (cladams@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Stanford Global Studies,sgs,https://sgs.stanford.edu/,"615 Crothers Way, Encina Commons, Stanford, CA 94305","The Stanford Global Studies (SGS) Division is the university’s hub for education, research, and community engagement centered on exploring issues, societies, and cultures in regional and global perspective. Drawing on its network of over 300-affiliated faculty across the university, SGS equips Stanford students with the interdisciplinary knowledge and skills essential to leading in a global context and fosters innovative research that deepens society’s understanding of critical regions and global issues.",https://dl.airtable.com/.attachments/699a555297de24b0876b570332b2feae/86d2e4ab/StanfordGlobalStudies.png,"Stanford Global Studies (SGS) is committed to outreach to foster global competencies, promote inclusive and equitable opportunities in global education, and share Stanford’s research expertise and educational resources with students and educators in our broader community and beyond. With funding from Title VI of the Higher Education Act, SGS has continued to collaborate with campus partners to develop and advance community outreach with K-14 institutions in support of area/international studies, professional development for educators, and curriculum development.",https://sgs.stanford.edu/outreach/about,"Global, Education",<a href = 'https://profiles.stanford.edu/jisha-menon' target='_blank'>Jisha Menon</a>,Kate Kuhns (kkuhns@stanford.edu),NA,POINT (-122.1648 37.42683),School of Humanities & Sciences,
Center to Support Excellence in Teaching,cset,https://cset.stanford.edu/,"520 Galvez Mall, Stanford, CA 94305","CSET works in educational partnerships to solve persistent problems of practice by improving the quality of instruction, keeping equity at the center of the work, and developing leading educators",https://dl.airtable.com/.attachments/043dc1dfbb6dae0219f6251e7a8c0e00/fa1496c9/cset_logo_solo_large.png,At CSET we recognize that supporting excellence in teaching is a massive undertaking requiring a large community of people committed to a vision of excellent teaching that leads to more powerful learning for all students. We participate in the community committed to excellence in teaching through partnership work.,https://cset.stanford.edu/partnerships,Education,<a href = 'https://profiles.stanford.edu/janet-carlson' target='_blank'>Janet Carlson</a>,"Suzanne Burrows (sburrows@stanford.edu), Laura Wentworth (laura@caedpartners.org)",NA,POINT (-122.167 37.42477),Graduate School of Education,
Architectural Design Program ,architecture,https://cee.stanford.edu/programs/architectural-design-program,"473 Via Ortega Drive, Y2E2, Stanford, CA 94305","Our world faces enormous challenges. Given the impact of environmental and climatic change, population growth, housing and infrastructure needs across the globe, and the urgency for social justice in design, the importance and responsibility of architecture has never been greater. Architecture’s engagement with its potential is dependent, now more than ever, on a broader sense of “environment” - a collaborative approach, attention to concept and detail, an adept and nimble use of technology, and a commitment to the well-being and sustainability of not only our buildings, but our people.

Stanford Architecture is a visionary leader in the field committed to transforming architectural education, culture, and practice. SA prepares students to be healthy, competent, and innovative practitioners devoted to making the world a better place for all people through architecture. Leveraging the culture of innovation at Stanford and the Bay Area in a holistic pedagogy of education, Stanford Architecture fosters graduates who tackle the broad range of architectural and environmental challenges before us as inventive and environmentally responsible designers, creative and collaborative problem solvers, and active and equitable leaders.",https://dl.airtable.com/.attachments/4f08b89d404122f89ae243f1372b63ed/e06878f2/ArchitecturalDesignProgram.jpg,NA,NA,Environment and Sustainability,<a href = 'https://profiles.stanford.edu/john-barton' target='_blank'>John Barton</a>,NA,NA,POINT (-122.1759 37.42832),School of Engineering,
"Stanford SPARQ, Department of Psychology",sparq,https://sparq.stanford.edu/,"Building 420, 450 Jane Stanford Way, Stanford, CA 94305","Stanford SPARQ is a behavioral science “do tank” at Stanford University. We build research-driven partnerships with industry leaders and changemakers to combat bias, reduce disparities, and drive culture change.",https://dl.airtable.com/.attachments/67915686787b64ef3fff2e9e3ad8dfe6/7ece3c3f/SPARQ_Cardinal_Ln.png,"Stanford scholars examine racism, social change and how to build a more just future",https://news.stanford.edu/2020/06/02/understanding-institutional-racism-protest-social-change/,"Education, Equity or Socioeconomic Issues, Health, Identity & Human Rights, Law, Policy, & Justice, Media & Technology","<a href = 'https://profiles.stanford.edu/jennifer-eberhardt' target='_blank'>Jennifer Eberhardt</a>, <a href = 'https://profiles.stanford.edu/hazel-markus' target='_blank'>Hazel Markus</a>",SPARQ Office (Stanford_sparq@stanford.edu),NA,POINT (-122.1708 37.42863),School of Humanities & Sciences,
Precourt Institute for Energy ,precourt,https://energy.stanford.edu/,"473 Via Ortega Drive, Y2E2, Room 324, Stanford, CA 94305","Stanford University's Precourt Institute for Energy concentrates the talents of the university on energy research and education, from basic science and technology to policy and business. We disseminate research results and help the university develop energy-literate leaders as part of its educational mission. We also build collaborations globally with industry, other research institutions, government and civic organizations in pursuit of sustainable, affordable, secure energy for all people.",https://dl.airtable.com/.attachments/0cdadebb69dd2f23f334db53ee3ad7d4/af39c331/PrecourtInstituteforEnergy.png,"C3E is a collboration between Stanford’s Precourt Institute for Energy, MIT Energy Initiative, Texas A&M Energy Institute, and the U.S. Department of Energy. The Clean Energy Education and Empowerment initiative works to close the gender gap and increase the participation, leadership, and success of women in clean energy fields.",https://c3e.org/,Environment and Sustainability,<a href = 'https://profiles.stanford.edu/yi-cui' target='_blank'>Yi Cui</a>,"Katherine Maureen Taflan (ktaflanc@stanford.edu), Diana Gragg (moongdes@stanford.edu), Sarah Weaver (sarah.weaver@stanford.edu), Bianca Dilip Patel (bdpatel@stanford.edu)",NA,POINT (-122.1759 37.42832),Dean of Research,
Cardiovascular Institute ,cardio,http://med.stanford.edu/cvi.html,"Stanford Cardiovascular Institute, 265 Campus Drive, Stanford, CA 94305","Established in 2004, the Stanford Cardiovascular Institute ignites new research and clinical applications through awarded seed grants, establishes educational and training programs in the field of cardiovascular medicine and research, and fosters an environment that supports diversity, equity, and inclusion. The CVI supports activities outside the bench and clinic that facilitate an exchange of ideas through seminars that are open to all members.",https://dl.airtable.com/.attachments/9443713d61d681722220ebc2cb62cae2/a8945862/CVI-Heart_Transparent.png,Stanford Cardiovascular Institute are organizing weekly virtual CVI Frontiers in Cardiovascular Science Seminar. The Zoom webinars are open to the public. We encourage you to attend and have a lively Q&A discussion!,https://med.stanford.edu/cvi/events/frontiers-in-cv-science.html,"Health, Education, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/joseph-wu' target='_blank'>Joseph C Wu MD PhD</a>,"Amanda Chase (chaseama@stanford.edu), Adrienne Mueller (alm04@stanford.edu)",https://dl.airtable.com/.attachments/82744a62be1cb2001534b0f564bd10ce/5fe707e6/ScreenShot2021-09-24at12.53.07PM.png,POINT (-122.1775 37.43154),Stanford Medicine,
Law and Policy Lab ,lpl,https://law.stanford.edu/education/only-at-sls/law-policy-lab/,"559 Nathan Abbott Way, Stanford, CA 94305","An innovation in experiential learning deepens our commitment to policy: The Law and Policy Lab is finding solutions to some of our most pressing issues. Under the guidance of seasoned faculty advisers, Law and Policy Lab students counsel real-world clients in such areas as education, copyright and patent reform, governance and transparency in emerging economies, policing technologies, and energy and the environment.",https://dl.airtable.com/.attachments/81670cd065c07bad8102227cae15334f/8efafa73/LawandPolicyLab.png,"The Law and Policy Lab brings students, faculty members, and policy makers together to work on projects of mutual interest and benefit. Practicums span a wide range of relevant and pressing policy areas, encompassing everything from network neutrality to China’s solar industry.",https://law.stanford.edu/education/only-at-sls/law-policy-lab/#slsnav-policy-areas-and-clients,"Law, Policy, & Justice","<a href = 'https://profiles.stanford.edu/deborah-hensler' target='_blank'>Deborah Hensler</a>, Paul Brest",Luciana Herman (lherman@stanford.edu),NA,POINT (-122.1677 37.42394),School of Law,
Recreation & Wellness Operations ,rec,https://rec.stanford.edu/,"341 Galvez Street, Stanford, CA 94305","Stanford Recreation and Wellness has committed to providing a welcoming, inclusive, and inspiring space for the students, staff, faculty, and affiliates of Stanford University since 2006. They offer a range of community programs including fitness programs, academic courses, aquatics, adventure programs, and sport and youth programs.",https://dl.airtable.com/.attachments/1e0092957b2e6b8f4156c5cebabb4a62/8ebc4e13/RecreationWellnessOperations.jpg,"We believe that access to a healthful and purposeful life is a right afforded to everyone. We are committed to a welcoming and inclusive environment that advances access for all members of the Stanford community. Through our cause of igniting a culture of belonging and well-being, we work to ensure that a diversity of cultures, races and ethnicities, gender identities, sexual orientations, political and religious beliefs, physical abilities, learning styles, political views, and other personal facets flourish. Our diversity ensures our strength as an intellectual and active community. In today’s world, diversity represents the key to excellence and achievement.



",https://rec.stanford.edu/belong/diversity-inclusion-and-accessibility,Recreation and Culture,<a href = 'https://profiles.stanford.edu/susan-lowley' target='_blank'>Susan Annette Lowley</a>,NA,NA,POINT (-122.164 37.43014),Stanford Athletics,
Office of STEM Outreach,stem,https://oso.stanford.edu/,"408 Panama Mall, Stanford, CA 94305","The Office of STEM Outreach (OSO) serves as a nexus connecting Stanford faculty, students, and postdocs with youth, schoolteachers, nonprofit organizations, and the broader community with the goals of increasing engagement, participation, equity and inclusion in STEM fields.",https://dl.airtable.com/.attachments/7fd619640270f6c03cc464cb72ab2f04/8a437efa/OfficeofSTEMOutreach.png,Photo - High school teacher Yvonne White examines the results of her summer research project during the Stanford Research Program for Teachers (SRPT).,https://oso.stanford.edu/programs/middle-school-teachers,"Education, Equity or Socioeconomic Issues",,Kyle Cole (kylecole@stanford.edu),https://dl.airtable.com/.attachments/ebb0bf883d7e1cd85315efe98c90e20a/df6c0cc9/P1030631.JPG,POINT (-122.1726 37.42591),Dean of Research,
Stanford Digital Education,digital,https://digitaleducation.stanford.edu/,"Digital Education, 408 Panama Mall, Stanford, CA 94305","Led by Vice Provost Matthew Rascoff, Stanford Digital Education assists in coordinating digital education efforts across campus as well as to help incubate new programs that help Stanford advance its educational mission. To achieve those goals, the office: provides strategy and vision for Stanford’s online and hybrid education; strengthens the University infrastructure needed to create effective digital teaching and digital learning; and acts as the “front door” for external mission-aligned partners with Stanford, enabling them to engage productively to improve education.

Underlying Stanford Digital Education’s work is its vision: By uniting Stanford’s human and technological capabilities in novel ways we seek a more just, equitable and accessible system of education.",https://dl.airtable.com/.attachments/e2b8c014a26fe45394afa8b0bc9617ef/af61137f/StanfordDigitalEducation.png,"High school students welcomed to ‘Stanford family’ - Students at Birmingham Community Charter High School in Los Angeles, California, were one of 15 high school classes nationwide to take a novel Stanford computer science course. (Image credit: William Youngblood)",https://news.stanford.edu/report/2022/01/26/high-school-students-welcomed-stanford-family/,"Equity or Socioeconomic Issues, Education, Media and Technology",,"Matthew Rascoff (mzrascoff@stanford.edu), Priscilla Fiden (pfiden@stanford.edu), Anne Fitzsimmons Sadler (ansadler@stanford.edu)",https://dl.airtable.com/.attachments/aea917e6589ab23c4dc7f84745f9e9a9/7262f949/4940-1556_RET_Full-copy-2-1024x683.jpg,POINT (-122.1726 37.42597),Provost,
Center for Social Innovation,socialinnovation,https://www.gsb.stanford.edu/experience/about/centers-institutes/csi,"Center for Social Innovation, Stanford Graduate School of Business, 655 Knight Way, Stanford, CA 94305","CSI educates insightful leaders for social and environmental change through teaching and curriculum. We support faculty in developing courses that are grounded in the fundamentals of social innovation: impact measurement, human-centered design, systems thinking, and cross-sector approaches.",https://dl.airtable.com/.attachments/c1c105dfd771ffe36562eda11e923542/bdaeab85/GSB_CTRSOCIALINNOV_V_2C.jpg,"Social Innovation Resources for Educators and Independent Learners - Developed from the social innovation curriculum that the Stanford GSB is famous for, the Center for Social Innovation is offering free open-source assets that will guide aspiring and practicing social innovators through everything from key concepts to implementing innovative solutions.",https://www.gsb.stanford.edu/experience/about/centers-institutes/csi/social-innovation-resources,"Equity or Socioeconomic Issues, Education, Identity & Human Rights, Environment and Sustainability",<a href = 'https://profiles.stanford.edu/neil-malhotra' target='_blank'>Neil Malhotra</a>,Matthew Nash (mnash@stanford.edu),NA,POINT (-122.162 37.42848),Graduate School of Business,
Stanford RegLab,reglab,https://reglab.stanford.edu/,"559 Nathan Abbott Way
Stanford, CA 94305","RegLab partners with government agencies to design and evaluate programs, policies, and technologies that modernize government. We are an interdisciplinary team of legal experts, data scientists, social scientists, and engineers who are passionate about building an evidence base and high impact demonstration projects for better government. Our home at Stanford allows us to leverage state-of-the-art advances in machine learning, artificial intelligence, and causal inference to build a bridge between government agencies and academic frontiers in data science.",https://dl.airtable.com/.attachments/6c3cb660c7fa449cd080b3f2f5ba7ab9/db68fa75/StanfordRegLab.png,Stanford RegLab partners with Santa Clara County Public Health Department around Covid-19 response. ,https://law.stanford.edu/stanford-lawyer/articles/public-health-innovation-through-a-county-stanford-partnership/,"Environment and Sustainability, Health, Law, Policy, & Justice, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/daniel-ho' target='_blank'>Daniel Ho</a>,"Christine Shih chi Tsang (ctsang@law.stanford.edu), Derek Ouyang (douyang1@law.stanford.edu)",NA,POINT (-122.1677 37.42394),School of Law,2022
d.school / Hasso Plattner Institute of Design,dschool,https://dschool.stanford.edu/,"416 Escondido Mall, Stanford, CA 94305","The d.school (Hasso Plattner Institute of Design) builds on methods from across the field of design to create learning experiences that help people unlock their creative potential and apply it to the world. For our learning experiences, we work with partners from non-profit, corporate, and government organizations to develop projects that address real-world challenges. Our partners are local and from across the nation and world. ",https://dl.airtable.com/.attachments/9fbbda62c1e274de052dca0e0bec54f9/f43a5908/d.schoolHassoPlattnerInstituteofDesign.png,"We’ve curated a collection of resources from our classes and workshops for you to explore. Use these activities, tools, and how-tos as a starting point — we hope you’ll hack them for whatever challenge you’re working on.",https://dschool.stanford.edu/resources,Environment and Sustainability,,NA,NA,POINT (-122.1719 37.42635),School of Engineering,
Stanford Institute for Economic Policy Research ,siepr,http://siepr.stanford.edu/,"366 Galvez Street, Stanford, CA 94305","The Stanford Institute for Economic Policy Research (SIEPR) is Stanford University’s thought leader for understanding the economic challenges, opportunities, and policies affecting people in the United States and around the world.

Our mission is to catalyze and promote evidence-based knowledge about pressing economic issues, leading to better-informed policy solutions for generations to come. We envision a future where policies are underpinned by sound economic principles and generate measurable improvements in the lives of all people.",https://dl.airtable.com/.attachments/816f4e148d22fa582a34065673ec6247/2fbd2567/StanfordInstituteforEconomicPolicyResearch.jpg,Read the 2020-2021 annual report.,https://drive.google.com/file/d/1Trqu7impGyR2Y3XwScz0BYdRdtQe-2Ar/view?usp=sharing,"Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/mark-duggan' target='_blank'>Mark Duggan</a>,"Adam Gorlick (agorlick@stanford.edu), Jialu Streeter (jialu512@stanford.edu)",NA,POINT (-122.1653 37.42939),Dean of Research,
Center on Philanthropy and Civil Society ,pacs,https://pacscenter.stanford.edu/,"559 Nathan Abbott Way, Stanford, CA 94305","The Stanford Center on Philanthropy and Civil Society (PACS) is a global interdisciplinary research center and publisher of the Stanford Social Innovation Review (SSIR). Stanford PACS develops and shares knowledge to improve philanthropy, strengthen civil society, and address societal challenges. By creating a shared space for scholars, students, and practitioners, Stanford PACS informs policy and social innovation, philanthropic investment, and nonprofit practice. ",https://dl.airtable.com/.attachments/19f1c1f0a438e23c815a8bd553d8fb65/c7828b41/CenteronPhilanthropyandCivilSociety.png,"Stanford PACS encourages interdisciplinary approaches, leveraging the intellectual assets of a diverse, world-class faculty across the University. Linked is the list of our active research project and historical research initiatives.",https://pacscenter.stanford.edu/research/,"Equity or Socioeconomic Issues, Environment and Sustainability, Education, Law, Policy, & Justice, Identity & Human Rights",<a href = 'https://profiles.stanford.edu/robb-willer' target='_blank'>Robb Willer</a>,"Priya Shanker (pshanker@stanford.edu), Sawako Sonoyama Clarin (sawako@stanford.edu)",NA,POINT (-122.1677 37.42394),School of Humanities & Sciences,
Center for Ethics In Society ,ethics,https://ethicsinsociety.stanford.edu/,"559 Nathan Abbott Way, Crown Building, Stanford, CA 94305","The McCoy Family Center for Ethics in Society is committed to bringing ethical reflection to bear on important social problems through research, teaching, and community engagement. Drawing on the established strengths of Stanford's interdisciplinary faculty, the Center develops initiatives with ethical dimensions that relate to pressing public problems.",https://dl.airtable.com/.attachments/78084fe6eb0f26b0bbdf41c4569f5ead/37bcd76f/CenterforEthicsInSociety.jpeg,"Hope House Scholars Program - Started in 2001, each quarter a graduate student, postdoc or faculty offer one course in the humanities to the residents of Hope House, a residential drug and alcohol treatment facility for women, many of whom have recently been incarcerated.",https://ethicsinsociety.stanford.edu/research-outreach/hope-house-scholars-program,"Identity & Human Rights, Law, Policy, & Justice",<a href = 'https://profiles.stanford.edu/rob-reich' target='_blank'>Rob Reich</a>,Joan Berry (joanberry@stanford.edu),NA,POINT (-122.1677 37.42394),School of Humanities & Sciences,
Continuing Studies and Summer Session ,continuing,https://continuingstudies.stanford.edu/,"365 Lasuen Street, Stanford, CA 94305","The mission of Stanford Continuing Studies is to share the rich educational resources of Stanford University with adult students, to nurture a vibrant learning community, to nourish the life of the mind, and to promote the pleasures of intellectual exploration.",https://dl.airtable.com/.attachments/84ff24c5bf379ea17d71b519efd6b257/bea24bbf/ContinuingStudieslogo.png,"Discover Stanford For You is an opportunity to learn about Stanford’s mission, groundbreaking research, and purposeful impact in the world. Each session showcases timely, innovative ways Stanford is working with global partners to solve pressing problems.",https://continuingstudies.stanford.edu/discover-stanford-for-you,Education,,"Jennifer Deitz (jdeitz@stanford.edu), Dan Colman (dhcolman@stanford.edu)",NA,POINT (-122.1678 37.43056),Provost,
Primary Care and Population Health ,pcph,https://med.stanford.edu/pcph/community-.html,"1265 Welch Road, Stanford, CA, 94305","The Primary Care and Population Health community partnership program seeks to advance health and health equity in our local community. We do this by developing, coordinating, and sustaining partnerships between our faculty, staff, and trainees and local community health clinics. The Primary Care and Population Health division partners with three local community health centers (Ravenswood/Mayview Family Health Network, Roots Community Health Center, and Opportunity Center/Peninsula Healthcare Connection) to provide clinical care to lower income or unhoused populations, identify and conduct collaborative research projects, and develop mutually beneficial service-learning opportunities for students, residents, fellows, faculty, and staff. Our partnership model uniquely embeds our clinicians, learners, and researchers within our community clinics. Our division is eager to expand our partnerships to other community health partners including local social services agencies, public health departments, and other community health centers.  ",https://dl.airtable.com/.attachments/f1140b4bc640de94534c72f43303fc74/55452b84/PCPHLogo.jpg,Primary Care and Population Health Community Partnership Programs,https://med.stanford.edu/pcph/community-.html ,"Health, Equity or Socioeconomic Issues, Education",<a href = 'https://profiles.stanford.edu/221122' target='_blank'>David Shi Ann Chang</a>,"Loto Reed (loto@stanford.edu), Jonathan Shaw (jgshaw@stanford.edu), Alexandria Blacker (blacker@stanford.edu)",https://dl.airtable.com/.attachments/808f5d6c67c87dbf3e93ea3919ccfc8c/8e6d160b/Community-Clinic_Who-we-are-3-.png,POINT (-122.1791 37.43186),Stanford Medicine,
Center for Spatial and Textual Analysis,csta,https://cesta.stanford.edu/,"450 Jane Stanford Way, Building 160, Fourth Floor, Stanford, CA 94305","The Center for Spatial and Textual Analysis (CESTA) is an internationally renowned digital humanities center based in Wallenberg Hall at Stanford University. We are a diverse community of faculty, students, researchers, and practitioners. Through collaboration with partners across campus, across the Americas, and across the world, our research investigates pressing questions about human history, experience and endeavor. We explore places, global spaces, texts, textual artefacts, data visualization, digital curation, preservation and display, linked data and interoperability, and sustainability. As a scholarly community CESTA supports and encourages cutting-edge work across the humanities and the interpretative social sciences.",https://dl.airtable.com/.attachments/399c997aa490ba33562fffd535eb528a/72779780/CenterforSpatialandTextualAnalysis.png,"The Center for Spatial and Textual Analysis (CESTA) is partnering with Foothill College to develop a summer quarter 2021 program for Foothill College students interested in pursuing humanities-adjacent careers or courses of study. This project is supported by the inaugural Spring 2021 Community Engagement Seed Funding through the Office of Community Engagement, in collaboration with the Bill Lane Center for the American West. ",https://news.stanford.edu/2021/05/19/stanford-funds-community-projects-address-pandemic-challenges/,"Arts & Humanities, Education",<a href = 'https://profiles.stanford.edu/giovanna-ceserani' target='_blank'>Giovanna Ceserani</a>,NA,https://dl.airtable.com/.attachments/9cbb3109448f54d8e3960da384f92ea3/55e7189c/20210730_organismal_biology_n6a6198_0.jpg,POINT (-122.169 37.42835),Dean of Research,"2021, 2022"
"Outreach Education, Stanford Earth",earthoutreach,https://earth.stanford.edu/academics/k12-outreach,"397 Panama Mall, Stanford, CA 94305","We offer K-12 programs for second-graders, high school students, and teachers aimed at supporting an appreciation of our planet and how it works. By working with budding scientists and current science students, we offer programs to broaden their understanding of the scientific process. The programs help students understand Earth and environmental sciences. Programs are free of cost to students and teachers in our local community.",https://dl.airtable.com/.attachments/adcb44a0041a19ce367a074e14fa404f/1b3a5610/OutreachEducationStanfordEarth.png,"Stanford Earth Young Investigators - High school students spend the summer working in research laboratories. Students are supervised directly by graduate students, post docs and lab managers. This program enables graduate students to serve as supervisors, prepares high school students for college and helps strengthen the connections between Stanford and local high schools. Since 2004, over 300 high school students have worked in our research labs and learned about the process of science first hand.",https://earth.stanford.edu/academics/young-investigators#gs.pex1fg,Environment and Sustainability,<a href = 'https://profiles.stanford.edu/jennifer-saltzman' target='_blank'>Jennifer Saltzman</a>,NA,NA,POINT (-122.1722 37.42655),"School of Earth, Energy & Environmental Sciences",
Legal Design Lab ,ldl,https://law.stanford.edu/organizations/pages/legal-design-lab/,"559 Nathan Abbott Way, Stanford, CA 94305","The Legal Design Lab is an interdisciplinary team based at Stanford Law School & d.school, building a new generation of legal products & services.

We use human-centered design and agile development methodology to design new solutions for legal services. We do exploratory design work and empirical research to reimagine how the legal system could work.",https://dl.airtable.com/.attachments/d787240f142815bf04c2d84062ca0d04/122dc8a6/LegalDesignLab.png,"We work with courts, corporate legal departments, law firms, and legal aid groups to reimagine how they provide services.

Our Lab builds new solutions that aim to make the civil justice system more accessible and equitable. Here are some of the projects that we are building, piloting, and evaluating. For a complete list of projects, visit: http://legaltechdesign.com",https://law.stanford.edu/organizations/pages/legal-design-lab/#slsnav-our-projects,"Law, Policy, & Justice",,Margaret Hagan (mdhagan@stanford.edu),NA,POINT (-122.1677 37.42394),"School of Law, School of Engineering",
Jasper Ridge Biological Preserve ,jasper,https://jrbp.stanford.edu/,"4001 Sand Hill Road, Woodside, CA 94062","Jasper Ridge Biological Preserve is an 1193-acre outdoor research, teaching, and nature conservation facility nestled in the heart of Silicon Valley.  It is dedicated to providing educational and research opportunities to the entire Stanford community and beyond, and to being a safe and welcome place for discovery, discussion, and community for people of all cultures and identities.  Engagement with the broader community includes docent-led learning opportunities for age groups from middle-schoolers to retirees, and working with NGOs, state and national parks, governmental agencies, and businesses to promote sustainable stewardship practices in our region and beyond.",https://dl.airtable.com/.attachments/f740853f060584e04edab843fc7c9396/830a43cb/JRBPlogo-StanfordRed.png,San Francisco Bay Research Coordination Network for Student Opportunities in Avian Research to Enhance STEM Education (SOAR),https://jrbp.stanford.edu/news/jasper-ridge-and-collaborating-institutions-awarded-nsf-grant-plan-research-coordination,"Environment and Sustainability, Education, Identity & Human Rights, Recreation and Culture, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/elizabeth-hadly' target='_blank'>Elizabeth Hadly</a>,"Anthony Barnosky (tonybarnosky@stanford.edu), Jorge Ramos (jramosh@stanford.edu)",https://dl.airtable.com/.attachments/ca4510957b697ced4da605f380c427d7/b52e8887/SOARWebPageEntry.png,POINT (-122.2398 37.40535),School of Humanities & Sciences,
Institute for Research in the Social Sciences (IRiSS),iriss,https://iriss.stanford.edu/,"30 Alta Road, Stanford, CA 94305","That’s where the Immigration Policy Lab comes in. With branches at Stanford University and ETH Zurich, we use large datasets, creative research designs, and cutting-edge analytical tools to bring new evidence to bear on the urgent problems practitioners face. By guiding the people who set public policy, as well as those who directly serve immigrant communities, our research can inspire solutions and ultimately improve countless lives.",https://dl.airtable.com/.attachments/8b81b44c4721f3d7ffb95cd53a6e0100/b35f3ad6/irisslogo5.png,"The Research Experience Program (REP) is a partnership between Stanford and local community colleges that allows instructors to directly expose their students to current cutting edge social science research for an entire quarter. The REP brings Stanford research projects to the community college campus, and trains community college students in research methods, so that students can gain firsthand experience with social science studies.",https://iriss.stanford.edu/rep,"Education, Equity or Socioeconomic Issues",<a href = 'https://profiles.stanford.edu/karen-cook' target='_blank'>Karen Cook</a>,"Carolyn Ybarra (ybarra@stanford.edu), Christopher Thomsen  (cthomsen@stanford.edu)",https://dl.airtable.com/.attachments/3993d92dba5d1af41d81caf8e2f61f4f/2f439deb/IMG_8292_2.JPG,POINT (-122.181 37.42063),School of Humanities & Sciences,2022
